                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3202,                 4.0549,                 4.0133,                0.00144,                0.12879,                0.00118,                0.00036,                 2.8236,                 5.7413,                 3.9996,               0.070492,              0.0032787,              0.0032787
                      2,                 3.0675,                 3.4834,                 3.5373,                0.00199,                0.25505,                0.00303,                0.00061,                 2.9076,                 5.0258,                 3.8455,               0.040448,              0.0065684,              0.0065684
                      3,                 2.5705,                 3.0677,                 3.0236,                0.06641,                0.11398,                0.02653,                0.00679,                 2.7326,                 5.7095,                 3.9244,               0.010361,              0.0098141,              0.0098141
                      4,                 1.9553,                 2.6026,                 2.4505,                0.07544,                 0.2868,                0.06389,                0.02681,                 2.1515,                 6.0294,                 2.9979,               0.009802,               0.009802,               0.009802
                      5,                 1.5108,                 2.1732,                 2.0304,                0.18148,                 0.6773,                0.17929,                0.11007,                 1.7303,                 4.0347,                 2.7061,               0.009802,               0.009802,               0.009802
                      6,                  1.293,                 1.9399,                 1.8191,                0.18716,                0.79925,                0.21517,                0.12991,                 1.6716,                 2.6905,                 2.4573,               0.009736,               0.009736,               0.009736
                      7,                 1.1924,                 1.8149,                 1.7135,                0.18647,                0.83063,                0.20678,                0.13232,                 1.5175,                 2.3782,                 2.3245,                0.00967,                0.00967,                0.00967
                      8,                 1.1346,                 1.7365,                 1.6444,                0.20143,                0.78995,                0.23182,                0.14959,                 1.4764,                 2.1816,                 2.2903,               0.009604,               0.009604,               0.009604
                      9,                 1.0782,                 1.6679,                 1.5946,                0.22685,                0.81931,                 0.2669,                0.16143,                 1.4382,                 2.3106,                 2.2278,               0.009538,               0.009538,               0.009538
                     10,                 1.0467,                 1.6195,                 1.5614,                0.19328,                0.79044,                0.25362,                0.16189,                 1.4141,                 2.5678,                 2.1614,               0.009472,               0.009472,               0.009472
                     11,                  1.027,                 1.5921,                 1.5479,                0.19981,                0.80305,                0.26011,                0.17588,                 1.3345,                 2.0003,                 2.0599,               0.009406,               0.009406,               0.009406
                     12,                 1.0037,                 1.5523,                 1.5213,                0.23619,                0.78047,                0.25403,                0.16847,                 1.3567,                  1.938,                 2.0921,                0.00934,                0.00934,                0.00934
                     13,                0.97428,                 1.5117,                 1.4941,                0.24665,                0.78361,                0.31894,                 0.2093,                 1.2814,                 1.8267,                 1.9504,               0.009274,               0.009274,               0.009274
                     14,                 0.9699,                 1.4967,                 1.4805,                0.22245,                0.71991,                0.29298,                0.19675,                 1.3619,                 2.2328,                 2.0078,               0.009208,               0.009208,               0.009208
                     15,                0.95084,                 1.4648,                 1.4651,                0.25498,                0.78614,                0.35525,                0.23443,                 1.2953,                 1.7221,                  1.992,               0.009142,               0.009142,               0.009142
                     16,                0.93717,                  1.449,                 1.4557,                0.23563,                0.77482,                0.31717,                0.21024,                 1.3678,                 1.8506,                 1.9635,               0.009076,               0.009076,               0.009076
                     17,                0.92876,                 1.4321,                 1.4407,                0.25465,                 0.7803,                0.34895,                0.23538,                 1.3244,                 1.9604,                 2.0169,                0.00901,                0.00901,                0.00901
                     18,                0.91912,                 1.4115,                 1.4234,                0.27246,                0.78171,                0.35906,                0.24304,                 1.2894,                  1.733,                 1.9372,               0.008944,               0.008944,               0.008944
                     19,                0.91233,                 1.4009,                 1.4283,                0.27913,                0.75731,                 0.3758,                 0.2511,                 1.2989,                 1.6959,                 1.9482,               0.008878,               0.008878,               0.008878
                     20,                0.90329,                  1.385,                 1.4088,                0.27963,                0.73041,                0.37868,                0.24919,                 1.3715,                 1.7086,                 1.9898,               0.008812,               0.008812,               0.008812
                     21,                0.89433,                  1.367,                 1.4086,                 0.3145,                0.74284,                 0.3919,                0.25784,                 1.3266,                 1.6982,                 1.9845,               0.008746,               0.008746,               0.008746
                     22,                0.89413,                 1.3592,                 1.4045,                0.32863,                0.70056,                 0.4006,                0.26509,                 1.2743,                 1.5712,                 1.9147,                0.00868,                0.00868,                0.00868
                     23,                0.87592,                 1.3475,                  1.388,                0.28692,                0.76395,                 0.4115,                0.27319,                 1.2506,                   1.64,                 1.8508,               0.008614,               0.008614,               0.008614
                     24,                0.88077,                 1.3472,                 1.3917,                0.28892,                0.77241,                0.41335,                0.28165,                 1.2883,                 1.6045,                 2.0029,               0.008548,               0.008548,               0.008548
                     25,                0.87102,                 1.3382,                 1.3798,                0.29686,                0.78785,                0.42732,                0.28798,                 1.2861,                  1.579,                 1.9894,               0.008482,               0.008482,               0.008482
                     26,                0.86632,                   1.32,                 1.3711,                0.31229,                0.70127,                0.42034,                0.28344,                 1.2786,                 1.6232,                 1.8923,               0.008416,               0.008416,               0.008416
                     27,                0.86479,                 1.3072,                 1.3709,                0.32665,                0.72311,                0.41354,                0.27267,                 1.4045,                 1.5931,                 2.1735,                0.00835,                0.00835,                0.00835
                     28,                0.85487,                 1.2957,                 1.3653,                0.34901,                0.68114,                0.45003,                0.29788,                 1.2632,                 1.6453,                  1.946,               0.008284,               0.008284,               0.008284
                     29,                0.86206,                  1.299,                 1.3658,                0.33782,                0.70497,                 0.4309,                0.29785,                 1.2572,                 1.6342,                 1.9696,               0.008218,               0.008218,               0.008218
