                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3078,                  4.062,                 4.0174,                0.00147,                0.11818,                0.00169,                0.00037,                 2.8535,                 5.7555,                 4.0074,               0.070492,              0.0032787,              0.0032787
                      2,                 3.0166,                 3.4644,                 3.5129,                 0.0022,                0.28565,                0.00225,                0.00051,                 2.9967,                 4.9511,                 3.8594,               0.040448,              0.0065684,              0.0065684
                      3,                 2.4619,                 3.0114,                 2.9571,                0.08541,                0.29947,                0.07377,                0.02836,                 2.3058,                 6.5228,                 3.5334,               0.010361,              0.0098141,              0.0098141
                      4,                 1.8473,                 2.4795,                 2.3759,                0.17175,                 0.6293,                0.17331,                0.10947,                 1.7671,                 4.1985,                 2.6966,               0.009802,               0.009802,               0.009802
                      5,                 1.4258,                 2.0939,                 1.9688,                0.20118,                0.66526,                0.19531,                0.12349,                  1.628,                  3.235,                 2.5642,               0.009802,               0.009802,               0.009802
                      6,                 1.2569,                 1.9134,                 1.7935,                0.19095,                0.71804,                0.23449,                0.14511,                 1.5778,                 2.5808,                 2.3934,               0.009736,               0.009736,               0.009736
                      7,                 1.1581,                 1.7864,                 1.6908,                0.20114,                0.80247,                0.22394,                0.13602,                 1.4788,                 2.4667,                 2.3393,                0.00967,                0.00967,                0.00967
                      8,                 1.1057,                 1.7096,                 1.6304,                0.20416,                0.75707,                0.22012,                0.13651,                  1.453,                 2.3561,                 2.2312,               0.009604,               0.009604,               0.009604
                      9,                 1.0599,                 1.6453,                 1.5839,                0.23142,                0.76404,                0.25801,                0.16061,                 1.3937,                 2.0863,                   2.27,               0.009538,               0.009538,               0.009538
                     10,                 1.0279,                 1.5998,                 1.5507,                0.22928,                0.80489,                0.30086,                0.19429,                 1.3209,                 2.0156,                 2.1132,               0.009472,               0.009472,               0.009472
                     11,                 1.0145,                 1.5738,                 1.5406,                0.22882,                0.76894,                0.26961,                0.17857,                 1.3235,                 1.9554,                 2.0906,               0.009406,               0.009406,               0.009406
                     12,                0.99242,                  1.532,                 1.5187,                0.25753,                0.76652,                0.28608,                0.18556,                 1.2783,                 2.1526,                 2.0543,                0.00934,                0.00934,                0.00934
                     13,                0.95969,                  1.501,                 1.4862,                0.24259,                0.71763,                0.30206,                0.19787,                 1.3104,                 1.8772,                 2.0284,               0.009274,               0.009274,               0.009274
                     14,                0.95776,                 1.4827,                 1.4769,                0.24579,                0.73677,                0.33488,                0.21602,                 1.3865,                 1.9127,                 2.0987,               0.009208,               0.009208,               0.009208
                     15,                0.94005,                 1.4494,                 1.4622,                0.24781,                0.74374,                0.35053,                0.23165,                 1.2962,                 1.8352,                 2.0578,               0.009142,               0.009142,               0.009142
                     16,                 0.9276,                 1.4395,                 1.4519,                0.25184,                0.77231,                0.32855,                0.21781,                 1.3533,                 2.0192,                 1.9877,               0.009076,               0.009076,               0.009076
                     17,                0.91868,                 1.4169,                 1.4382,                0.24448,                0.75881,                0.32353,                0.22098,                 1.2406,                 2.1847,                 1.9369,                0.00901,                0.00901,                0.00901
                     18,                0.90888,                 1.4001,                 1.4189,                0.30929,                0.75989,                0.39858,                0.26455,                 1.3656,                 1.5737,                 2.0045,               0.008944,               0.008944,               0.008944
                     19,                0.89897,                   1.39,                 1.4245,                0.26353,                0.75157,                0.37401,                0.25102,                 1.2769,                 1.7412,                 1.9462,               0.008878,               0.008878,               0.008878
                     20,                0.89131,                 1.3795,                 1.4035,                0.28455,                0.76404,                0.38425,                0.24998,                 1.3588,                 1.6793,                 2.0129,               0.008812,               0.008812,               0.008812
                     21,                0.88518,                 1.3637,                 1.4025,                0.31196,                 0.7442,                0.39603,                0.26504,                 1.2646,                 1.7313,                 1.9541,               0.008746,               0.008746,               0.008746
                     22,                0.88297,                 1.3528,                 1.4005,                0.30177,                0.78848,                0.41015,                0.26765,                 1.3134,                 1.5637,                 1.9604,                0.00868,                0.00868,                0.00868
