                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3096,                   3.98,                 3.9501,                0.00157,                0.12266,                0.00159,                0.00063,                 2.9687,                 5.9417,                 3.9637,               0.070492,              0.0032787,              0.0032787
                      2,                 2.9445,                 3.4367,                 3.4049,                 0.0021,                0.28348,                 0.0017,                0.00043,                 2.8889,                   5.04,                 3.7863,               0.040448,              0.0065684,              0.0065684
                      3,                 2.3372,                 2.9481,                 2.8337,                0.14826,                0.27108,                0.10564,                0.04616,                 2.4746,                 6.6402,                 3.5166,               0.010361,              0.0098141,              0.0098141
                      4,                 1.7578,                 2.3829,                 2.2877,                0.16739,                0.48697,                0.15798,                 0.0818,                  1.999,                 3.9437,                 3.0488,               0.009802,               0.009802,               0.009802
                      5,                 1.4089,                 2.0757,                 1.9424,                0.20289,                0.73675,                0.21409,                0.13661,                 1.6457,                 3.1676,                 2.4513,               0.009802,               0.009802,               0.009802
                      6,                 1.2602,                 1.9165,                 1.7881,                0.19443,                0.80683,                0.21645,                0.13331,                 1.6227,                 2.6707,                 2.4091,               0.009736,               0.009736,               0.009736
                      7,                 1.1745,                 1.8077,                  1.698,                0.21065,                0.81199,                0.26247,                0.15383,                 1.5393,                  2.326,                 2.3332,                0.00967,                0.00967,                0.00967
                      8,                 1.1211,                 1.7399,                 1.6377,                0.21562,                0.79633,                0.24291,                0.14539,                 1.5068,                 2.2348,                 2.1698,               0.009604,               0.009604,               0.009604
                      9,                 1.0764,                 1.6746,                 1.5902,                0.24103,                0.75013,                0.28642,                 0.1685,                 1.4891,                 2.6354,                 2.1507,               0.009538,               0.009538,               0.009538
                     10,                 1.0502,                 1.6286,                  1.562,                0.23351,                 0.7527,                 0.2828,                0.17883,                 1.3876,                 2.1124,                  2.081,               0.009472,               0.009472,               0.009472
                     11,                 1.0335,                 1.6015,                 1.5555,                0.23368,                0.75206,                0.29811,                0.18521,                 1.4148,                 1.9826,                 2.1019,               0.009406,               0.009406,               0.009406
                     12,                 1.0105,                  1.561,                 1.5322,                0.23018,                0.76929,                0.27457,                0.18361,                 1.3989,                  2.095,                 2.0955,                0.00934,                0.00934,                0.00934
                     13,                0.98369,                 1.5288,                 1.5076,                0.28111,                0.68089,                0.35322,                0.22622,                 1.3632,                  1.824,                 1.9991,               0.009274,               0.009274,               0.009274
                     14,                0.97767,                 1.5136,                 1.4977,                0.22087,                0.69956,                0.24445,                 0.1534,                 1.3779,                 2.3134,                 2.1132,               0.009208,               0.009208,               0.009208
                     15,                0.95711,                 1.4822,                 1.4776,                0.24287,                0.72886,                0.35027,                0.22975,                 1.3588,                 1.7534,                 2.0435,               0.009142,               0.009142,               0.009142
                     16,                0.94182,                   1.47,                 1.4692,                0.22477,                0.73428,                0.33167,                0.21755,                 1.4017,                 1.8444,                 2.0981,               0.009076,               0.009076,               0.009076
                     17,                0.93785,                 1.4484,                 1.4584,                0.23267,                0.72786,                0.30895,                0.21174,                 1.2844,                 2.1936,                 1.9413,                0.00901,                0.00901,                0.00901
                     18,                0.92642,                 1.4261,                 1.4396,                0.26745,                0.79389,                0.35456,                0.23623,                 1.3803,                  1.637,                   2.08,               0.008944,               0.008944,               0.008944
                     19,                0.92021,                  1.418,                 1.4477,                0.26292,                 0.8186,                0.36793,                0.24121,                 1.3122,                  1.613,                 1.9698,               0.008878,               0.008878,               0.008878
                     20,                0.90784,                 1.4059,                 1.4231,                0.28225,                0.74272,                0.36095,                0.23874,                 1.3303,                 1.8741,                 1.9567,               0.008812,               0.008812,               0.008812
                     21,                 0.9001,                 1.3909,                 1.4211,                0.29791,                0.73747,                 0.3912,                0.26073,                 1.3111,                 1.5616,                 1.9946,               0.008746,               0.008746,               0.008746
                     22,                0.89539,                 1.3842,                 1.4189,                0.27209,                0.79804,                0.37695,                0.25327,                 1.2469,                 1.5955,                 1.8967,                0.00868,                0.00868,                0.00868
                     23,                 0.8828,                   1.37,                 1.4033,                0.29195,                0.78273,                0.38258,                0.25566,                 1.2881,                   1.65,                 1.9344,               0.008614,               0.008614,               0.008614
                     24,                0.88601,                 1.3668,                 1.4081,                0.29304,                 0.7751,                0.41537,                0.28525,                 1.2425,                 1.5015,                 1.8584,               0.008548,               0.008548,               0.008548
                     25,                0.87791,                 1.3575,                 1.3975,                0.27424,                0.79201,                0.37274,                0.25194,                 1.2894,                 1.6601,                 1.8885,               0.008482,               0.008482,               0.008482
                     26,                0.87231,                 1.3467,                 1.3891,                0.30609,                0.71692,                0.40201,                0.26544,                 1.2821,                 1.5187,                  1.989,               0.008416,               0.008416,               0.008416
                     27,                0.87501,                 1.3344,                 1.3916,                0.32479,                0.69614,                0.40352,                0.27082,                 1.2621,                 1.5098,                 1.9177,                0.00835,                0.00835,                0.00835
                     28,                0.86666,                 1.3251,                 1.3824,                0.30018,                0.75577,                0.41444,                 0.2807,                 1.2553,                 1.6042,                 1.8928,               0.008284,               0.008284,               0.008284
                     29,                0.86806,                 1.3219,                 1.3827,                0.31878,                 0.7326,                0.40324,                0.27857,                 1.2544,                 1.6216,                 1.8969,               0.008218,               0.008218,               0.008218
