                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2907,                 3.9383,                 3.9218,                0.00182,                0.14567,                0.00181,                0.00047,                 3.0086,                  5.921,                 3.9675,               0.070492,              0.0032787,              0.0032787
                      2,                 2.9844,                 3.4201,                 3.3965,                0.00155,                0.21413,                0.00119,                0.00029,                 2.9451,                 4.7796,                 3.8151,               0.040448,              0.0065684,              0.0065684
                      3,                 2.4577,                 3.0677,                 2.8723,                0.04199,                0.06688,                0.02272,                0.00597,                 2.5447,                 7.0306,                 3.3174,               0.010361,              0.0098141,              0.0098141
                      4,                  1.887,                 2.5613,                 2.3345,                0.15247,                0.53666,                0.13972,                0.08113,                 2.0523,                 4.0591,                 2.8344,               0.009802,               0.009802,               0.009802
                      5,                 1.4698,                 2.1543,                 1.9521,                0.17964,                0.70576,                0.20369,                0.13222,                 1.8059,                 3.0834,                 2.4732,               0.009802,               0.009802,               0.009802
                      6,                 1.3028,                 1.9794,                 1.7894,                0.19591,                0.82721,                0.23606,                0.13941,                 1.6666,                 2.5479,                 2.3389,               0.009736,               0.009736,               0.009736
                      7,                 1.2194,                 1.8576,                 1.7009,                0.19892,                0.82977,                0.22654,                 0.1352,                 1.6367,                 2.4428,                 2.4007,                0.00967,                0.00967,                0.00967
                      8,                 1.1658,                 1.7855,                 1.6435,                0.20859,                0.84389,                0.24438,                0.14788,                 1.5286,                 2.0696,                 2.3146,               0.009604,               0.009604,               0.009604
                      9,                 1.1119,                 1.7163,                 1.5972,                0.23141,                0.83778,                0.28551,                0.17184,                 1.4495,                 1.9646,                 2.1627,               0.009538,               0.009538,               0.009538
                     10,                 1.0839,                 1.6631,                 1.5698,                0.20896,                0.83673,                0.27078,                0.16534,                 1.4832,                 2.2449,                 2.2109,               0.009472,               0.009472,               0.009472
