                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3103,                  3.984,                 3.9539,                0.00253,                0.13105,                  0.003,                0.00064,                 2.9605,                 5.9421,                 3.9635,               0.070492,              0.0032787,              0.0032787
                      2,                 2.9457,                 3.4537,                 3.4092,                 0.0015,                0.19746,                0.00159,                0.00034,                 2.9136,                 5.2977,                 3.7741,               0.040448,              0.0065684,              0.0065684
                      3,                 2.3888,                 2.9795,                 2.8677,                0.03745,                0.26459,                0.02767,                0.00671,                 2.7561,                 17.958,                 4.1376,               0.010361,              0.0098141,              0.0098141
                      4,                 1.8752,                 2.5073,                 2.4007,                0.09386,                0.19603,                0.06068,                0.03018,                 2.0677,                 5.0499,                 3.0888,               0.009802,               0.009802,               0.009802
                      5,                 1.4844,                 2.1406,                 2.0348,                0.19295,                 0.7457,                0.19062,                0.12256,                  1.566,                 2.9425,                 2.6136,               0.009802,               0.009802,               0.009802
                      6,                 1.2956,                 1.9537,                 1.8467,                0.17838,                0.62063,                 0.2107,                0.12286,                 1.7019,                 3.0039,                   2.55,               0.009736,               0.009736,               0.009736
                      7,                 1.1942,                 1.8331,                 1.7362,                0.19717,                0.78695,                0.22678,                0.14247,                 1.5099,                 2.3852,                 2.4059,                0.00967,                0.00967,                0.00967
                      8,                 1.1447,                 1.7524,                 1.6704,                0.20247,                0.73654,                 0.2149,                0.13353,                 1.5207,                 2.3749,                 2.3536,               0.009604,               0.009604,               0.009604
                      9,                 1.0927,                 1.6859,                 1.6231,                0.20402,                0.79385,                0.24578,                0.15604,                 1.5332,                 2.2609,                 2.3511,               0.009538,               0.009538,               0.009538
                     10,                 1.0544,                 1.6357,                  1.586,                0.21491,                0.76869,                0.27302,                0.16875,                 1.4158,                 2.4903,                 2.2378,               0.009472,               0.009472,               0.009472
                     11,                  1.039,                  1.609,                 1.5745,                0.21293,                0.79149,                0.25268,                0.16395,                 1.4006,                 2.0354,                 2.1628,               0.009406,               0.009406,               0.009406
                     12,                 1.0123,                 1.5636,                 1.5507,                 0.2209,                0.76375,                0.24414,                0.15524,                 1.3829,                 2.0912,                  2.116,                0.00934,                0.00934,                0.00934
                     13,                0.97989,                 1.5292,                 1.5217,                0.23635,                0.69653,                0.29363,                0.18315,                 1.4121,                 2.1806,                 2.1285,               0.009274,               0.009274,               0.009274
                     14,                0.98135,                 1.5173,                 1.5087,                0.23677,                0.70454,                0.27705,                0.18392,                 1.3133,                 2.4722,                 2.0554,               0.009208,               0.009208,               0.009208
                     15,                0.96098,                 1.4878,                 1.4926,                0.23863,                0.78505,                0.31323,                0.19583,                 1.3266,                 1.8173,                 2.0584,               0.009142,               0.009142,               0.009142
                     16,                0.94738,                 1.4672,                 1.4814,                0.22878,                0.73962,                0.30419,                0.19842,                 1.3355,                 2.1235,                 2.0006,               0.009076,               0.009076,               0.009076
                     17,                0.93957,                 1.4525,                 1.4665,                0.26587,                0.74752,                0.34415,                0.22989,                 1.2875,                 1.7438,                 1.9847,                0.00901,                0.00901,                0.00901
                     18,                0.93077,                 1.4327,                 1.4512,                0.24407,                0.79695,                0.33648,                0.22718,                 1.3163,                 1.8608,                 2.0126,               0.008944,               0.008944,               0.008944
                     19,                0.92437,                 1.4232,                 1.4553,                0.27384,                0.73268,                0.34982,                0.23209,                 1.3317,                 1.9661,                 2.0569,               0.008878,               0.008878,               0.008878
                     20,                0.91443,                 1.4069,                 1.4355,                0.26785,                0.65958,                0.33684,                0.22116,                 1.3596,                  2.057,                 2.0874,               0.008812,               0.008812,               0.008812
                     21,                0.90583,                 1.3912,                 1.4306,                0.30489,                 0.7084,                0.37173,                0.24761,                 1.2807,                 1.6985,                 2.0154,               0.008746,               0.008746,               0.008746
                     22,                 0.9025,                 1.3843,                 1.4283,                0.30069,                0.78035,                 0.3716,                0.24295,                 1.2785,                   1.62,                 1.9511,                0.00868,                0.00868,                0.00868
                     23,                0.88851,                 1.3706,                 1.4124,                0.30988,                 0.7516,                0.39178,                0.25855,                 1.2967,                 1.6154,                 1.9914,               0.008614,               0.008614,               0.008614
                     24,                0.89166,                 1.3638,                 1.4184,                0.29843,                0.77889,                0.40093,                0.27213,                 1.2928,                 1.5772,                 1.9871,               0.008548,               0.008548,               0.008548
                     25,                0.88248,                 1.3537,                 1.4044,                 0.3266,                0.70792,                 0.4079,                0.27116,                 1.2749,                 1.5918,                 1.9857,               0.008482,               0.008482,               0.008482
                     26,                0.87609,                 1.3439,                 1.3997,                0.33311,                0.66691,                0.41193,                0.26974,                 1.2897,                  1.585,                 1.9864,               0.008416,               0.008416,               0.008416
