                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2914,                 3.9377,                  3.919,                0.00174,                0.13482,                0.00262,                0.00074,                 3.0109,                 5.9224,                 3.9684,               0.070492,              0.0032787,              0.0032787
                      2,                 2.9816,                 3.4184,                 3.3969,                0.00192,                0.26401,                0.00155,                0.00039,                 3.0322,                 4.9232,                 3.8365,               0.040448,              0.0065684,              0.0065684
                      3,                 2.4642,                 3.0856,                 2.8752,                0.09916,                0.24221,                0.07991,                0.03963,                 2.3348,                 5.3186,                 3.1443,               0.010361,              0.0098141,              0.0098141
                      4,                 1.8947,                 2.5796,                 2.3381,                0.17606,                0.61448,                0.18358,                0.10335,                 2.0493,                 3.3737,                  2.703,               0.009802,               0.009802,               0.009802
                      5,                 1.4638,                 2.1549,                 1.9517,                0.18585,                 0.6098,                0.18043,                 0.1114,                 1.7795,                 3.4471,                 2.5145,               0.009802,               0.009802,               0.009802
                      6,                  1.289,                  1.965,                 1.7832,                0.19018,                 0.7952,                0.23791,                0.13284,                 1.6993,                 2.3188,                 2.3844,               0.009736,               0.009736,               0.009736
                      7,                 1.2101,                 1.8443,                 1.6946,                0.18781,                0.79784,                0.21474,                0.13236,                 1.5972,                 2.3572,                 2.2239,                0.00967,                0.00967,                0.00967
                      8,                 1.1578,                  1.774,                 1.6347,                0.21169,                0.76128,                0.20707,                0.13005,                 1.5567,                 2.2618,                 2.2079,               0.009604,               0.009604,               0.009604
                      9,                 1.1059,                 1.7021,                 1.5907,                0.21389,                0.82436,                0.24757,                0.15114,                 1.4931,                 2.0835,                 2.2601,               0.009538,               0.009538,               0.009538
                     10,                 1.0777,                 1.6556,                 1.5616,                0.19405,                0.80866,                0.23581,                0.15204,                 1.4398,                 2.2089,                 2.1227,               0.009472,               0.009472,               0.009472
                     11,                 1.0611,                 1.6253,                 1.5539,                  0.214,                0.77041,                0.26886,                0.17141,                 1.4481,                 1.9435,                 2.0953,               0.009406,               0.009406,               0.009406
                     12,                 1.0365,                 1.5857,                 1.5268,                0.21612,                0.76233,                0.27037,                0.17252,                 1.4333,                 1.9355,                 2.1035,                0.00934,                0.00934,                0.00934
                     13,                 1.0084,                 1.5541,                 1.5056,                0.23362,                0.75127,                0.29329,                0.19084,                 1.3747,                 1.9203,                 1.9783,               0.009274,               0.009274,               0.009274
                     14,                 1.0072,                 1.5413,                 1.4925,                0.22463,                0.75772,                0.26272,                0.17185,                 1.4127,                 2.0829,                 2.0165,               0.009208,               0.009208,               0.009208
                     15,                0.98059,                  1.513,                 1.4773,                0.22931,                0.81906,                0.33808,                0.21811,                 1.3865,                 1.8559,                 2.0181,               0.009142,               0.009142,               0.009142
                     16,                0.97294,                 1.4943,                 1.4696,                0.23293,                0.72612,                0.28087,                0.17879,                 1.4107,                 2.0442,                 2.0071,               0.009076,               0.009076,               0.009076
                     17,                0.96101,                 1.4773,                 1.4514,                0.23516,                0.76575,                0.29453,                0.19976,                 1.3681,                 2.1072,                 2.0878,                0.00901,                0.00901,                0.00901
                     18,                0.95289,                 1.4618,                 1.4378,                0.24186,                0.75382,                0.29662,                0.19871,                  1.377,                 1.9929,                 1.9739,               0.008944,               0.008944,               0.008944
                     19,                0.94581,                 1.4497,                 1.4437,                 0.2464,                0.75932,                0.31761,                0.21268,                 1.3165,                 1.8753,                 1.9761,               0.008878,               0.008878,               0.008878
                     20,                0.93387,                 1.4366,                 1.4195,                0.28624,                0.73793,                0.30089,                0.19489,                 1.3815,                 2.1789,                 2.0317,               0.008812,               0.008812,               0.008812
                     21,                0.92923,                 1.4197,                 1.4206,                0.25797,                0.81119,                0.33979,                0.22567,                 1.3404,                 1.6357,                 1.9847,               0.008746,               0.008746,               0.008746
                     22,                0.92089,                 1.4109,                 1.4152,                0.28584,                0.78352,                0.38091,                0.24748,                  1.363,                 1.7098,                 1.9944,                0.00868,                0.00868,                0.00868
                     23,                0.90986,                  1.398,                  1.402,                0.27765,                0.71944,                0.32194,                 0.2133,                 1.2983,                 1.8337,                  1.893,               0.008614,               0.008614,               0.008614
                     24,                0.90971,                 1.3931,                 1.4055,                0.26572,                0.80665,                0.38136,                0.25577,                 1.3091,                 1.5997,                 1.9313,               0.008548,               0.008548,               0.008548
                     25,                0.90044,                 1.3861,                 1.3922,                0.26661,                0.77744,                0.35582,                0.23127,                 1.3297,                 1.8194,                 1.9914,               0.008482,               0.008482,               0.008482
                     26,                0.89617,                  1.372,                  1.389,                0.30464,                0.72162,                0.38429,                 0.2537,                 1.2893,                 1.5887,                 1.9105,               0.008416,               0.008416,               0.008416
                     27,                0.89259,                 1.3622,                 1.3846,                0.25453,                0.73361,                0.34627,                0.22943,                 1.3511,                 1.9086,                 1.9317,                0.00835,                0.00835,                0.00835
                     28,                0.88404,                 1.3549,                 1.3781,                0.29674,                0.77724,                0.38994,                0.25795,                 1.2824,                 1.6586,                 1.9573,               0.008284,               0.008284,               0.008284
                     29,                0.89157,                 1.3516,                 1.3816,                0.30405,                0.65802,                0.35937,                  0.245,                 1.2725,                 1.7171,                 1.8728,               0.008218,               0.008218,               0.008218
                     30,                0.87712,                 1.3476,                 1.3687,                0.30606,                0.72948,                0.39863,                0.27185,                 1.2625,                 1.5329,                  1.848,               0.008152,               0.008152,               0.008152
                     31,                0.87017,                 1.3318,                 1.3574,                0.29109,                0.72813,                0.36516,                0.24168,                 1.3518,                 1.8468,                 1.9145,               0.008086,               0.008086,               0.008086
                     32,                0.88209,                 1.3293,                 1.3673,                0.33886,                0.67618,                0.39248,                0.26189,                 1.2659,                 1.7813,                  1.878,                0.00802,                0.00802,                0.00802
                     33,                0.86087,                 1.3086,                 1.3503,                0.31401,                0.72799,                0.40214,                0.27331,                 1.2915,                 1.5827,                 1.8793,               0.007954,               0.007954,               0.007954
                     34,                 0.8614,                 1.2995,                   1.36,                0.27745,                0.75965,                0.38832,                0.26616,                 1.2146,                 1.5276,                 1.8069,               0.007888,               0.007888,               0.007888
                     35,                0.85667,                 1.2894,                 1.3463,                0.31511,                0.72582,                0.41954,                0.28229,                 1.2755,                 1.6493,                 1.8421,               0.007822,               0.007822,               0.007822
                     36,                0.85517,                 1.2941,                  1.348,                0.31921,                0.73338,                0.44732,                0.29582,                 1.3052,                 1.7461,                  1.881,               0.007756,               0.007756,               0.007756
                     37,                0.84689,                  1.272,                 1.3389,                0.35454,                0.65316,                0.44512,                0.30413,                  1.237,                 1.5127,                 1.8676,                0.00769,                0.00769,                0.00769
                     38,                0.84029,                 1.2616,                 1.3376,                0.38187,                0.63141,                0.47103,                0.32213,                 1.2616,                 1.4614,                 1.8384,               0.007624,               0.007624,               0.007624
                     39,                0.84542,                 1.2582,                 1.3405,                0.35385,                0.65813,                0.45042,                 0.3065,                 1.2531,                 1.4138,                 1.8589,               0.007558,               0.007558,               0.007558
                     40,                0.83758,                   1.25,                 1.3315,                 0.4098,                0.64769,                0.49939,                0.34131,                  1.249,                 1.4556,                 1.8366,               0.007492,               0.007492,               0.007492
                     41,                0.83489,                 1.2374,                 1.3298,                0.39847,                 0.6507,                0.49789,                0.33379,                 1.2672,                 1.5225,                 1.8567,               0.007426,               0.007426,               0.007426
                     42,                0.82524,                 1.2261,                 1.3203,                0.34909,                0.65645,                 0.4651,                0.32746,                 1.2296,                 1.5729,                 1.8403,                0.00736,                0.00736,                0.00736
                     43,                0.83513,                 1.2312,                 1.3241,                0.44112,                0.65419,                0.52941,                0.36551,                 1.2059,                 1.2909,                 1.7921,               0.007294,               0.007294,               0.007294
                     44,                0.82617,                 1.2152,                 1.3154,                0.39121,                0.63194,                0.47388,                0.32288,                 1.3138,                 1.4627,                 1.9414,               0.007228,               0.007228,               0.007228
                     45,                0.81683,                 1.2126,                 1.3098,                0.44393,                0.62258,                0.51048,                0.35136,                  1.279,                 1.5275,                 1.8418,               0.007162,               0.007162,               0.007162
                     46,                0.83274,                 1.2108,                 1.3294,                0.37668,                0.62838,                0.47274,                0.32324,                 1.2799,                 1.5869,                 1.9458,               0.007096,               0.007096,               0.007096
                     47,                0.81908,                 1.2015,                 1.3159,                 0.4323,                0.63114,                0.49942,                0.34251,                  1.288,                 1.5818,                 1.8885,                0.00703,                0.00703,                0.00703
                     48,                0.81858,                 1.1884,                 1.3066,                0.39821,                0.66137,                0.48306,                0.33493,                 1.2318,                  1.665,                  1.835,               0.006964,               0.006964,               0.006964
                     49,                0.81493,                 1.1767,                 1.3058,                0.46305,                 0.5583,                0.51191,                0.35531,                  1.212,                 1.3322,                 1.7866,               0.006898,               0.006898,               0.006898
                     50,                0.81917,                 1.1927,                 1.3113,                0.48029,                0.58894,                0.53113,                0.36587,                 1.2557,                 1.3461,                 1.8708,               0.006832,               0.006832,               0.006832
                     51,                0.81092,                 1.1716,                 1.3013,                 0.4045,                0.70284,                0.55126,                0.38429,                 1.1939,                 1.2886,                 1.7788,               0.006766,               0.006766,               0.006766
                     52,                0.80974,                 1.1681,                 1.3015,                0.38882,                0.69583,                0.48087,                0.32552,                  1.291,                 1.6694,                 1.8764,                 0.0067,                 0.0067,                 0.0067
                     53,                0.79172,                 1.1616,                 1.2878,                0.46318,                0.61372,                0.53711,                0.37066,                 1.2396,                  1.352,                 1.8604,               0.006634,               0.006634,               0.006634
                     54,                0.80384,                 1.1503,                 1.2943,                0.44051,                0.59719,                0.53265,                  0.368,                 1.2468,                 1.3652,                 1.8478,               0.006568,               0.006568,               0.006568
                     55,                0.80927,                 1.1588,                 1.2993,                0.47752,                 0.6748,                0.58248,                0.39607,                 1.2262,                 1.2088,                 1.8605,               0.006502,               0.006502,               0.006502
                     56,                0.80092,                 1.1539,                 1.2852,                0.47393,                0.66944,                0.55501,                0.37812,                 1.2142,                 1.2768,                 1.7902,               0.006436,               0.006436,               0.006436
                     57,                0.79104,                 1.1371,                 1.2854,                0.45037,                0.65048,                0.54455,                0.36592,                 1.2819,                 1.3295,                 1.8697,                0.00637,                0.00637,                0.00637
                     58,                0.79335,                 1.1369,                 1.2837,                0.47379,                0.61614,                0.56293,                0.38868,                  1.231,                 1.2894,                 1.7951,               0.006304,               0.006304,               0.006304
                     59,                0.78017,                 1.1249,                 1.2763,                0.43977,                0.70841,                0.57729,                0.40628,                 1.2203,                  1.275,                  1.814,               0.006238,               0.006238,               0.006238
                     60,                0.79413,                 1.1355,                 1.2847,                0.44218,                0.66206,                0.55522,                0.38829,                 1.2225,                 1.2724,                 1.8063,               0.006172,               0.006172,               0.006172
                     61,                0.78996,                  1.122,                 1.2769,                0.48161,                0.65777,                0.57812,                0.40139,                 1.1947,                 1.3942,                 1.7767,               0.006106,               0.006106,               0.006106
                     62,                 0.7721,                 1.1108,                 1.2691,                0.48021,                0.62277,                 0.5687,                0.38663,                 1.2223,                 1.3136,                 1.8242,                0.00604,                0.00604,                0.00604
                     63,                0.78158,                  1.108,                 1.2753,                0.45316,                0.69495,                0.58283,                0.40401,                 1.1773,                 1.3391,                 1.7345,               0.005974,               0.005974,               0.005974
                     64,                0.77882,                 1.1033,                 1.2676,                0.49202,                0.59788,                0.54362,                 0.3803,                 1.2572,                  1.433,                 1.9089,               0.005908,               0.005908,               0.005908
                     65,                0.77579,                 1.1013,                 1.2706,                0.48561,                0.61692,                0.55722,                0.38972,                 1.1883,                 1.2344,                 1.7566,               0.005842,               0.005842,               0.005842
