                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82888,                 1.2231,                 1.3294,                0.41578,                 0.6373,                0.49741,                0.32538,                 1.2824,                  1.717,                  1.872,               0.007756,               0.007756,               0.007756
                     37,                0.81363,                 1.2018,                 1.3189,                0.41825,                0.63116,                  0.517,                0.35225,                  1.227,                 1.3271,                  1.852,                0.00769,                0.00769,                0.00769
                     38,                0.81031,                 1.1852,                 1.3186,                0.40339,                0.68129,                0.53908,                0.36888,                 1.2351,                 1.2158,                 1.8792,               0.007624,               0.007624,               0.007624
                     39,                0.81552,                 1.1889,                 1.3201,                0.43337,                0.64442,                0.52121,                0.35557,                 1.2729,                 1.2943,                 1.8885,               0.007558,               0.007558,               0.007558
                     40,                0.80219,                 1.1764,                 1.3083,                0.41488,                0.59096,                0.49831,                0.33966,                 1.2738,                  1.445,                 2.0194,               0.007492,               0.007492,               0.007492
                     41,                0.80015,                  1.166,                 1.3057,                 0.4132,                0.64896,                0.53038,                0.34677,                 1.2944,                 1.5042,                 1.9333,               0.007426,               0.007426,               0.007426
                     42,                0.79381,                 1.1498,                 1.2969,                0.45559,                0.62456,                0.54322,                0.37198,                 1.3244,                 1.4277,                 1.8994,                0.00736,                0.00736,                0.00736
                     43,                 0.7997,                  1.158,                 1.2982,                0.51745,                0.62699,                0.58461,                0.39721,                 1.2458,                 1.2629,                 1.9067,               0.007294,               0.007294,               0.007294
                     44,                0.79267,                  1.143,                 1.2912,                0.49465,                 0.6175,                0.58075,                0.39823,                 1.2486,                 1.2835,                 1.8069,               0.007228,               0.007228,               0.007228
                     45,                0.78642,                 1.1402,                 1.2893,                 0.4674,                0.65907,                0.55852,                0.38277,                 1.2498,                 1.4607,                 1.8645,               0.007162,               0.007162,               0.007162
                     46,                 0.8015,                  1.137,                 1.3052,                0.50993,                0.60993,                0.58276,                0.40059,                 1.2534,                 1.3944,                   1.91,               0.007096,               0.007096,               0.007096
                     47,                0.78119,                  1.124,                  1.288,                0.52576,                0.61579,                0.57552,                 0.3974,                 1.2125,                 1.3846,                 1.8947,                0.00703,                0.00703,                0.00703
                     48,                0.78538,                 1.1138,                 1.2869,                0.42618,                0.64611,                0.53918,                0.37214,                 1.2105,                 1.7373,                 1.8594,               0.006964,               0.006964,               0.006964
                     49,                0.78324,                 1.1013,                 1.2839,                0.48788,                 0.6598,                0.58316,                0.39291,                 1.2249,                 1.3032,                 1.8241,               0.006898,               0.006898,               0.006898
                     50,                0.78386,                 1.1143,                 1.2892,                0.48379,                  0.652,                0.56445,                0.37677,                 1.3165,                 1.5282,                 2.0036,               0.006832,               0.006832,               0.006832
                     51,                0.77605,                 1.0924,                 1.2758,                0.54165,                 0.6321,                0.61159,                0.42766,                 1.1765,                 1.2726,                 1.8028,               0.006766,               0.006766,               0.006766
                     52,                0.77644,                 1.0876,                 1.2776,                0.50675,                0.62483,                 0.5895,                0.39831,                 1.2836,                 1.2769,                 1.9181,                 0.0067,                 0.0067,                 0.0067
                     53,                0.75911,                 1.0805,                  1.264,                0.49077,                0.65256,                0.56505,                0.38654,                 1.2951,                 1.6332,                 2.0088,               0.006634,               0.006634,               0.006634
                     54,                0.77119,                 1.0681,                 1.2677,                0.55648,                0.64373,                0.62614,                0.42201,                 1.2364,                 1.2838,                 1.9212,               0.006568,               0.006568,               0.006568
                     55,                0.77215,                 1.0723,                  1.272,                 0.5317,                0.69135,                0.62364,                0.42631,                  1.252,                 1.3862,                 1.9256,               0.006502,               0.006502,               0.006502
                     56,                0.76395,                 1.0697,                 1.2607,                0.57073,                0.61556,                0.62414,                0.43028,                 1.2029,                 1.1914,                 1.8265,               0.006436,               0.006436,               0.006436
                     57,                0.75646,                 1.0574,                 1.2605,                0.52596,                0.61774,                0.58593,                0.39347,                 1.3034,                 1.3347,                  1.979,                0.00637,                0.00637,                0.00637
                     58,                0.76078,                 1.0465,                 1.2625,                0.52665,                0.65302,                0.62276,                0.42132,                 1.2233,                   1.24,                 1.8223,               0.006304,               0.006304,               0.006304
                     59,                0.74992,                 1.0428,                 1.2547,                0.54858,                0.68995,                0.64101,                0.44619,                 1.2612,                 1.1438,                 1.8888,               0.006238,               0.006238,               0.006238
                     60,                0.75952,                 1.0473,                 1.2588,                0.53884,                0.64065,                0.63698,                0.43872,                 1.2812,                 1.1809,                 1.9826,               0.006172,               0.006172,               0.006172
                     61,                 0.7517,                 1.0321,                 1.2554,                0.54584,                0.66363,                0.62356,                0.42804,                 1.2346,                  1.341,                   1.91,               0.006106,               0.006106,               0.006106
                     62,                 0.7381,                 1.0212,                 1.2452,                 0.5669,                0.65124,                0.62905,                0.42848,                 1.2678,                 1.2403,                 1.9957,                0.00604,                0.00604,                0.00604
                     63,                0.74465,                 1.0232,                 1.2488,                0.53092,                0.65503,                0.60113,                0.42262,                 1.2016,                 1.4647,                  1.778,               0.005974,               0.005974,               0.005974
                     64,                0.74035,                 1.0143,                 1.2421,                0.56609,                0.63321,                0.64447,                0.45469,                 1.2106,                 1.1757,                 1.8975,               0.005908,               0.005908,               0.005908
                     65,                 0.7411,                 1.0092,                 1.2454,                0.51352,                0.66451,                 0.5948,                0.42244,                  1.206,                 1.7155,                 1.7982,               0.005842,               0.005842,               0.005842
                     66,                0.74073,                 1.0111,                 1.2479,                0.58182,                0.66025,                 0.6486,                0.45562,                 1.1796,                 1.2645,                 1.7529,               0.005776,               0.005776,               0.005776
                     67,                 0.7304,                0.99948,                 1.2373,                 0.5526,                0.66912,                0.63979,                0.44642,                 1.2277,                 1.1929,                 1.8842,                0.00571,                0.00571,                0.00571
                     68,                0.73772,                 0.9993,                 1.2405,                 0.5621,                0.67037,                0.63125,                0.44603,                  1.199,                 1.2917,                 1.8613,               0.005644,               0.005644,               0.005644
                     69,                0.72971,                0.99419,                 1.2384,                0.55535,                0.64927,                 0.6266,                0.44703,                 1.1676,                 1.3773,                 1.7574,               0.005578,               0.005578,               0.005578
                     70,                 0.7319,                0.98838,                 1.2407,                0.49993,                0.72218,                0.62293,                0.44149,                 1.2175,                  1.347,                  1.883,               0.005512,               0.005512,               0.005512
                     71,                0.72067,                0.98608,                 1.2265,                0.62179,                0.65709,                0.67625,                0.46869,                 1.2372,                 1.1814,                 1.8866,               0.005446,               0.005446,               0.005446
                     72,                0.72118,                0.98329,                  1.233,                0.54024,                0.69563,                 0.6542,                0.46525,                 1.2121,                 1.1064,                 1.8122,                0.00538,                0.00538,                0.00538
                     73,                0.71824,                0.95988,                 1.2245,                0.58287,                0.64385,                0.64034,                0.43702,                 1.2397,                 1.4367,                  1.861,               0.005314,               0.005314,               0.005314
                     74,                0.72413,                0.96138,                 1.2292,                0.60456,                0.68692,                0.68438,                0.47251,                 1.2265,                 1.1714,                 1.8732,               0.005248,               0.005248,               0.005248
                     75,                0.71349,                0.95024,                 1.2255,                 0.5431,                0.69498,                0.62309,                0.43494,                 1.2736,                 1.7147,                 2.0728,               0.005182,               0.005182,               0.005182
                     76,                0.71575,                0.96251,                 1.2217,                0.54321,                0.72747,                0.65978,                0.46759,                 1.1984,                 1.2607,                 1.8645,               0.005116,               0.005116,               0.005116
                     77,                0.71196,                0.94564,                  1.221,                0.59429,                0.67666,                0.66592,                0.46217,                 1.1913,                 1.3178,                 1.8219,                0.00505,                0.00505,                0.00505
                     78,                0.70855,                0.94991,                 1.2163,                0.57859,                0.70502,                0.66825,                0.46817,                 1.1822,                 1.1056,                 1.7728,               0.004984,               0.004984,               0.004984
                     79,                0.70026,                0.93509,                 1.2122,                0.57821,                0.65171,                0.64505,                0.45532,                 1.1833,                 1.2847,                 1.8377,               0.004918,               0.004918,               0.004918
                     80,                0.70724,                0.93824,                 1.2197,                0.57038,                0.67793,                 0.6519,                0.45484,                 1.2129,                  1.259,                 1.8624,               0.004852,               0.004852,               0.004852
                     81,                0.69531,                0.94333,                 1.2079,                0.55541,                 0.6872,                 0.6276,                0.43756,                 1.2176,                 1.8055,                 1.8125,               0.004786,               0.004786,               0.004786
